barcode,category,categoryCode,name,topBrand,brandCode,id_oid,cpg_ref,cpg_oid
511111019862,Baking,BAKING,test brand @1612366101024,0,null,601ac115be37ce2ead437551,Cogs,601ac114be37ce2ead437550
511111519928,Beverages,BEVERAGES,Starbucks,0,STARBUCKS,601c5460be37ce2ead43755f,Cogs,5332f5fbe4b03c9a25efd0ba
511111819905,Baking,BAKING,test brand @1612366146176,0,TEST BRANDCODE @1612366146176,601ac142be37ce2ead43755d,Cogs,601ac142be37ce2ead437559
511111519874,Baking,BAKING,test brand @1612366146051,0,TEST BRANDCODE @1612366146051,601ac142be37ce2ead43755a,Cogs,601ac142be37ce2ead437559
511111319917,Candy & Sweets,CANDY_AND_SWEETS,test brand @1612366146827,0,TEST BRANDCODE @1612366146827,601ac142be37ce2ead43755e,Cogs,5332fa12e4b03c9a25efd1e7
511111719885,Baking,BAKING,test brand @1612366146091,0,TEST BRANDCODE @1612366146091,601ac142be37ce2ead43755b,Cogs,601ac142be37ce2ead437559
511111219897,Baking,BAKING,test brand @1612366146133,0,TEST BRANDCODE @1612366146133,601ac142be37ce2ead43755c,Cogs,601ac142be37ce2ead437559
511111104810,Condiments & Sauces,null,J.L. Kraft,null,J.L. KRAFT,5cdad0f5166eb33eb7ce0faa,Cogs,559c2234e4b06aca36af13c6
511111504412,Canned Goods & Soups,null,Campbell's Home Style,0,CAMPBELLS HOME STYLE,5ab15636e4b0be0a89bb0b07,Cogs,5a734034e4b0d58f376be874
511111504788,Baking,null,test,null,TEST,5c408e8bcd244a1fdb47aee7,Cogs,59ba6f1ce4b092b29c167346
511111516354,Baking,BAKING,test brand @1598813526777,null,TEST BRANDCODE @1598813526777,5f4bf556be37ce0b4491554d,Cogs,5f4bf556be37ce0b44915549
511111102540,null,null,MorningStar,null,null,57c08106e4b0718ff5fcb02c,Cpgs,5332f5f2e4b03c9a25efd0aa
511111201076,Baking,null,Calumet,0,CALUMET,588ba07be4b02187f85cdadd,Cogs,559c2234e4b06aca36af13c6
511111205012,Magazines,null,Entertainment Weekly,null,511111205012,5d6413156d5f3b23d1bc790a,Cogs,5d5d4fd16d5f3b23d1bc7905
511111801801,Breakfast & Cereal,null,AUNT JEMIMA Syrup,0,AUNT JEMIMA SYRUP,585a9611e4b03e62d1ce0e74,Cogs,5332f5fbe4b03c9a25efd0ba
511111202233,Beer Wine Spirits,null,Molson Canadian,0,MOLSON,57e5820ce4b0ac389136a311,Cpgs,5332f709e4b03c9a25efd0f1
511111817376,Health & Wellness,HEALTHY_AND_WELLNESS,Lotrimin®,0,LOTRIMIN,5fb6adb8be37ce522e165cb8,Cogs,5d9b4f591dda2c6225a284aa
511111515319,Baking,BAKING,test brand @1597342520277,null,TEST BRANDCODE @1597342520277,5f358338be37ce443bf9d55a,Cogs,5f358338be37ce443bf9d557
511111317364,Baking,BAKING,test brand @1605535049181,0,null,5fb28549be37ce522e165cb5,Cogs,5fb28549be37ce522e165cb4
511111300700,Beauty,null,ST. IVES,0,ST IVES,592486bfe410d61fcea3d139,Cogs,5332f5f6e4b03c9a25efd0b4
511111305125,Baby,null,Chris Image Test,null,CHRISIMAGE,5c4699f387ff3577e203ea29,Cogs,55b62995e4b0d8e685c14213
511111005650,Health & Wellness,HEALTHY_AND_WELLNESS,Alka-Seltzer®,null,ALKA SELTZER,5da6071ea60b87376833e34d,Cogs,5d9b4f591dda2c6225a284aa
511111802129,Condiments & Sauces,null,Jack Daniel's,0,JACK DANIEL'S BARBECUE,57ebc011e4b0ac389136a335,Cogs,559c2234e4b06aca36af13c6
511111303947,null,null,Bottled Starbucks,null,null,5332f5fee4b03c9a25efd0bd,Cpgs,53e10d6368abd3c7065097cc
511111802914,null,null,Full Throttle,null,null,5332fa7ce4b03c9a25efd22e,Cpgs,5332f5ebe4b03c9a25efd0a8
511111914549,Baking,BAKING,PopUp Brand A,null,null,5e9f18bfbe37ce3e45b6a77f,Cogs,5e9f12f5be37ce3e45b6a77e
511111400769,Frozen,null,MAGNUM Ice Cream,0,MAGNUM Ice Cream,592486bee410d61fcea3d133,Cogs,5332f5f6e4b03c9a25efd0b4
511111105329,Magazines,null,Elegant Homes Magazine,null,511111105329,5d66d71fa3a018093ab34728,Cogs,5d5d4fd16d5f3b23d1bc7905
511111316114,Baking,BAKING,test brand @1598635634882,null,TEST BRANDCODE @1598635634882,5f493e72be37ce64d0ae36c6,Cogs,5f493e72be37ce64d0ae36c2
511111315957,Baking,BAKING,test brand @1598633693011,null,null,5f4936ddbe37ce52f8314fd9,Cogs,5f4936dcbe37ce52f8314fd8
511111201915,Grocery,null,Taco Bell,0,TACO BELL,57ebc2e7e4b0ac389136a34b,Cogs,559c2234e4b06aca36af13c6
511111518112,Baking,BAKING,test brand @1607639214411,0,null,5fd2a0aebe37ce49eb72c0ee,Cogs,5fd2a0aebe37ce49eb72c0ed
511111506249,Breakfast & Cereal,null,Frosted Cheerios™,null,FROSTED CHEERIOS,5dc03596a60b873d6b0666cd,Cogs,53e10d6368abd3c7065097cc
511111916161,Baking,BAKING,test brand @1598639199674,null,TEST BRANDCODE @1598639199674,5f494c5f04db711dd8fe87e6,Cogs,5f494c5d04db711dd8fe87e2
511111103653,null,null,Gold Medal,null,null,5332f772e4b03c9a25efd125,Cpgs,5332f5f3e4b03c9a25efd0ae
511111100621,Baking,null,GODIVA Instant Pudding Mix,0,GODIVA DRY PACKAGED DESSERTS,59dfaad1e4b0a56a2fa69abc,Cogs,559c2234e4b06aca36af13c6
511111305910,Snacks,null,LÄRABAR™,null,LARABAR,5daf33e71dda2c3e1416ae93,Cogs,5332f5f3e4b03c9a25efd0ae
511111115366,Baking,BAKING,test brand @1597350074333,null,TEST BRANDCODE @1597350074333,5f35a0babe37ce6853cff1ff,Cogs,5f35a0babe37ce6853cff1fd
511111718079,Baking,BAKING,test brand @1607636368717,0,TEST BRANDCODE @1607636368717,5fd29590be37ce38bbbefb28,Cogs,5fd29590be37ce38bbbefb25
511111818182,Baking,BAKING,test brand @1607707830095,0,TEST BRANDCODE @1607707830095,5fd3acb6be37ce0d9386bb40,Cogs,5fd3acb5be37ce0d9386bb3e
511111504627,Household,null,Cottonelle,0,COTTONELLE,5bd200a6965c7d66d92731ea,Cogs,550b2565e4b001d5e9e4146f
511111301691,Beverages,null,Izze,0,IZZE,585a9675e4b03e62d1ce0e7f,Cogs,5332f5fbe4b03c9a25efd0ba
511111101178,Beverages,null,Mio,0,MIO,5887a17ee4b02187f85cdad3,Cogs,559c2234e4b06aca36af13c6
511111503699,null,null,Glaceau vitaminwater,null,null,5332f765e4b03c9a25efd11f,Cpgs,5332f5ebe4b03c9a25efd0a8
511111505365,Magazines,null,Magnolia Journal Magazine,null,511111505365,5d66d94d6d5f3b6188d4f04b,Cogs,5d5d4fd16d5f3b23d1bc7905
511111405252,Magazines,null,American Patchwork & Quilting Magazine,null,QUILTING SPECIAL EDITION,5d66d2fd6d5f3b6188d4f045,Cogs,5d5d4fd16d5f3b23d1bc7905
511111104025,null,null,Gree Giant,null,null,5332f5f3e4b03c9a25efd0ad,Cpgs,5332f5f3e4b03c9a25efd0ae
511111317203,Baking,BAKING,test brand @1604437351617,0,TEST BRANDCODE @1604437351617,5fa1c567be37ce402c4618f1,Cogs,5fa1c567be37ce402c4618ef
511111900337,Beer Wine Spirits,null,Herman Joseph's,null,HERMAN,5a5d1e76e4b0db471c2d0425,Cogs,5332f709e4b03c9a25efd0f1
