bonusPointsEarned,bonusPointsEarnedReason,pointsEarned,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId,createDate1,dateScanned1,finishedDate1,modifyDate1,pointsAwardedDate1,purchaseDate1,id_oid
500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",500,5,FINISHED,26,5ff1e1eacfcf6c399c274ae6,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 00:00,5ff1e1eb0a720f0523000575
150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",150,2,FINISHED,11,5ff1e194b6a9d73a3a9f1052,03-01-2021 15:24,03-01-2021 15:24,03-01-2021 15:24,03-01-2021 15:24,03-01-2021 15:24,02-01-2021 15:24,5ff1e1bb0a720f052300056b
5,All-receipts receipt bonus,5,1,REJECTED,10,5ff1e1f1cfcf6c399c274b0b,03-01-2021 15:25,03-01-2021 15:25,null,03-01-2021 15:25,null,03-01-2021 00:00,5ff1e1f10a720f052300057a
5,All-receipts receipt bonus,5,4,FINISHED,28,5ff1e1eacfcf6c399c274ae6,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 00:00,5ff1e1ee0a7214ada100056f
5,All-receipts receipt bonus,5,2,FINISHED,1,5ff1e194b6a9d73a3a9f1052,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,02-01-2021 15:25,5ff1e1d20a7214ada1000561
750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,1,FINISHED,3.25,5ff1e1e4cfcf6c399c274ac3,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,02-01-2021 15:25,5ff1e1e40a7214ada1000566
5,All-receipts receipt bonus,5,1,FINISHED,2.23,5ff1e194b6a9d73a3a9f1052,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,5ff1e1cd0a720f052300056f
500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",500,1,FINISHED,10,5ff1e194b6a9d73a3a9f1052,03-01-2021 15:24,03-01-2021 15:24,03-01-2021 15:24,03-01-2021 15:24,03-01-2021 15:24,27-12-2020 00:00,5ff1e1a40a720f0523000569
5,All-receipts receipt bonus,5,5,FINISHED,20,5ff1e1eacfcf6c399c274ae6,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 00:00,5ff1e1ed0a7214ada100056e
250,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",250,3,FINISHED,20,5ff1e1eacfcf6c399c274ae6,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 00:00,5ff1e1eb0a7214ada100056b
100,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",100,1,FINISHED,1,5ff1e194b6a9d73a3a9f1052,03-01-2021 15:24,03-01-2021 15:24,03-01-2021 15:24,03-01-2021 15:24,03-01-2021 15:24,02-01-2021 15:24,5ff1e1c50a720f052300056c
750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,5,FINISHED,50,5ff1e194b6a9d73a3a9f1052,03-01-2021 15:24,03-01-2021 15:24,03-01-2021 15:39,03-01-2021 15:39,03-01-2021 15:24,02-01-2021 00:00,5ff1e1a10a720f0523000568
150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",8850,10,FLAGGED,290,5ff1e194b6a9d73a3a9f1052,03-01-2021 15:24,03-01-2021 15:24,null,03-01-2021 15:24,null,03-02-2021 15:24,5ff1e1b60a7214ada100055c
750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,11,REJECTED,1,5f9c74f7c88c1415cbddb839,30-10-2020 20:17,30-10-2020 20:17,null,03-01-2021 15:24,30-10-2020 20:18,29-10-2020 20:17,5f9c74f70a7214ad07000037
300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",300,1,FINISHED,1,5ff1e194b6a9d73a3a9f1052,03-01-2021 15:24,03-01-2021 15:24,03-01-2021 15:24,03-01-2021 15:24,03-01-2021 15:24,03-02-2021 15:24,5ff1e1b20a7214ada100055a
0,null,0,0,FLAGGED,0,5ff1e1e9b6a9d73a3a9f10f6,03-01-2021 15:25,03-01-2021 15:25,null,03-01-2021 15:25,null,null,5ff1e1e90a7214ada1000569
750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,2,FINISHED,11,5ff1e1dfcfcf6c399c274ab3,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,02-01-2021 15:25,5ff1e1df0a7214ada1000564
750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,1,FLAGGED,1,5ff1e1b4cfcf6c399c274a54,03-01-2021 15:24,03-01-2021 15:24,null,03-01-2021 15:24,03-01-2021 15:24,02-01-2021 15:24,5ff1e1b40a7214ada100055b
300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",300,2,FINISHED,26,5ff1e1eacfcf6c399c274ae6,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 00:00,5ff1e1eb0a720f0523000576
5,All-receipts receipt bonus,5,2,FINISHED,1,5ff1e194b6a9d73a3a9f1052,03-01-2021 15:24,03-01-2021 15:24,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:24,02-01-2021 15:24,5ff1e1c80a720f052300056d
300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",389.2,6,FINISHED,14,5f9c74e3f1937815bd2c1d73,30-10-2020 20:18,30-10-2020 20:18,03-01-2021 15:39,03-01-2021 15:39,03-01-2021 15:39,29-10-2020 20:18,5f9c74f90a7214ad07000038
750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,1,FINISHED,1,5ff1e196cfcf6c399c274a38,03-01-2021 15:24,03-01-2021 15:24,03-01-2021 15:24,03-01-2021 15:24,03-01-2021 15:24,02-01-2021 15:24,5ff1e1960a720f0523000567
150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",150,2,FINISHED,21,5ff1e1eacfcf6c399c274ae6,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 00:00,5ff1e1ec0a7214ada100056c
40,COMPLETE_PARTNER_RECEIPT,185,2,FINISHED,2,5ff1e194b6a9d73a3a9f1052,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,02-01-2021 15:25,5ff1e1d70a720f0523000571
5,All-receipts receipt bonus,5,2,FINISHED,1,5ff1e194b6a9d73a3a9f1052,03-01-2021 15:24,03-01-2021 15:24,03-01-2021 15:24,03-01-2021 15:24,03-01-2021 15:24,02-01-2021 15:24,5ff1e1c60a7214ada100055e
5,All-receipts receipt bonus,5,5,FINISHED,27,5ff1e1eacfcf6c399c274ae6,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 00:00,5ff1e1ee0a7214ada1000570
5,All-receipts receipt bonus,5,2,FINISHED,1,5ff1e194b6a9d73a3a9f1052,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,02-01-2021 15:25,5ff1e1cf0a720f0523000570
25,COMPLETE_NONPARTNER_RECEIPT,35,1,FINISHED,1,5ff1e194b6a9d73a3a9f1052,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,03-01-2021 15:25,02-01-2021 15:25,5ff1e1e10a720f0523000572
0,null,0,3,REJECTED,3,5ff1e194b6a9d73a3a9f1052,03-01-2021 15:25,03-01-2021 15:25,null,03-01-2021 15:25,null,30-10-2017 00:00,5ff1e1d40a7214ada1000562
