barcode,description,finalPrice,itemPrice,needsFetchReview,partnerItemId,preventTargetGapPoints,quantityPurchased,userFlaggedBarcode,userFlaggedNewItem,userFlaggedPrice,userFlaggedQuantity,_id,needsFetchReviewReason,pointsNotAwardedReason,pointsPayerId,rewardsGroup,rewardsProductPartnerId,userFlaggedDescription,originalMetaBriteBarcode,originalMetaBriteDescription,brandCode,competitorRewardsGroup,discountedItemPrice,originalReceiptItemText,itemNumber,originalMetaBriteQuantityPurchased,pointsEarned,targetPrice,competitiveProduct,originalFinalPrice,originalMetaBriteItemPrice,deleted,priceAfterCoupon,metabriteCampaignId
4011,ITEM NOT FOUND,26,26,FALSE,1,TRUE,5,4011,TRUE,26,5,5ff1e1eb0a720f0523000575,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4011,ITEM NOT FOUND,1,1,null,1,null,1,null,null,null,null,5ff1e1bb0a720f052300056b,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
28400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,10,10,TRUE,2,TRUE,1,28400642255,TRUE,10,1,5ff1e1bb0a720f052300056b,USER_FLAGGED,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,FALSE,1,TRUE,null,4011,TRUE,26,3,5ff1e1f10a720f052300057a,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4011,ITEM NOT FOUND,28,28,FALSE,1,TRUE,4,4011,TRUE,28,4,5ff1e1ee0a7214ada100056f,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4011,ITEM NOT FOUND,1,1,null,1,null,1,null,null,null,null,5ff1e1d20a7214ada1000561,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1234,null,2.56,2.56,TRUE,2,TRUE,3,1234,TRUE,2.56,3,5ff1e1d20a7214ada1000561,USER_FLAGGED,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4011,ITEM NOT FOUND,3.25,3.25,FALSE,1,TRUE,1,4011,null,null,null,5ff1e1e40a7214ada1000566,null,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,null,28400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,MSSN TORTLLA,2.23,2.23,null,1009,null,1,null,null,null,null,5ff1e1cd0a720f052300056f,null,null,null,null,null,null,null,null,MISSION,TACO BELL TACO SHELLS,2.23,MSSN TORTLLA,null,null,null,null,null,null,null,null,null,null
46000832517,"Old El Paso Mild Chopped Green Chiles, 4.5 Oz",10,10,null,0,null,1,null,null,null,null,5ff1e1a40a720f0523000569,null,Action not allowed for user and CPG,5332f5f3e4b03c9a25efd0ae,OLD EL PASO BEANS & PEPPERS,5332f5f3e4b03c9a25efd0ae,null,null,null,BRAND,null,null,null,null,null,null,null,null,null,null,null,null,null
4011,ITEM NOT FOUND,20,20,FALSE,1,TRUE,5,4011,TRUE,20,5,5ff1e1ed0a7214ada100056e,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4011,ITEM NOT FOUND,20,20,FALSE,1,TRUE,3,4011,TRUE,20,3,5ff1e1eb0a7214ada100056b,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4011,ITEM NOT FOUND,1,1,null,1,null,1,null,null,null,null,5ff1e1c50a720f052300056c,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
13562300631,"Annie's Homegrown Organic White Cheddar Macaroni & Cheese Shells, 6 Oz",50,50,TRUE,1,null,5,null,null,null,null,5ff1e1a10a720f0523000568,POINTS_GREATER_THAN_THRESHOLD,Action not allowed for user and CPG,5332f5f3e4b03c9a25efd0ae,ANNIE'S HOMEGROWN MULTI-SERVING MAC & CHEESE,5332f5f3e4b03c9a25efd0ae,null,null,null,null,null,50,null,13562300631,1,null,null,null,null,null,null,null,null
